V_thresh_mV,rate_hz_per_neuron
-38.0,1.5649608759781006
-40.0,1.5649608759781006
-41.0,1.5649608759781006
-42.0,1.5649608759781006
-43.0,1.5649608759781006
-44.0,1.5649608759781006
-45.0,1.5699607509812257
-46.0,1.5849603759906004
-48.0,1.9299517512062199
-50.0,3.214919627009325
