V_mV,density_pre,density_post
-79.75,0.0,0.0
-79.25,0.0,0.0
-78.75,0.0,0.0
-78.25,0.0,0.0
-77.75,0.0,0.0
-77.25,0.0,0.0
-76.75,0.0,0.0
-76.25,0.0,0.0
-75.75,0.0,0.0
-75.25,0.0,0.0
-74.75,0.0,0.0
-74.25,0.0,0.0
-73.75,0.0,0.0
-73.25,0.0,0.0
-72.75000000000001,0.0,0.0
-72.25000000000001,0.0,0.0
-71.75000000000001,0.0,0.0
-71.25000000000001,0.0,0.0
-70.75000000000001,0.0,0.0
-70.25,0.0,0.0
-69.75,0.0,0.0
-69.25,2.1388237435363733,27.557770813959003
-68.75,2.1174710938504857,39.46222450513963
-68.25,2.1060321743759034,48.004869380070495
-67.75,2.108828354691912,55.22272598293745
-67.25,2.1223008598508653,59.22453413640472
-66.75,2.1502626630109556,62.500388349112335
-66.25,2.1876297999612584,66.42245548483568
-65.75,2.2044068818573126,66.17287645527351
-65.25,2.2328770814384957,63.91682701170013
-64.75,2.2466037848079945,66.38698626590413
-64.25,2.2979518233383427,65.7816794493934
-63.75,2.3388777352362933,63.76821875135917
-63.25,2.372686097238948,64.54724707081203
-62.75,2.408273846715426,62.32511344972065
-62.25,2.450216551455562,61.49689424269847
-61.75,2.495972229353892,61.01223455043666
-61.25,2.532830969883102,62.797604869794256
-60.75,2.5780782513603393,60.33831939073715
-60.25,2.640356812944177,59.001103947076764
-59.75,2.691196455053433,57.896380172033425
-59.25,2.746611664952521,56.973921580404784
-58.75,2.796942910640684,56.79683438515528
-58.24999999999999,2.8561710936980056,56.70906748575609
-57.75,2.928617583703655,56.63735234966742
-57.25,2.994709118445687,54.188681746348955
-56.75,3.0686807977146535,52.50764788851994
-56.25,3.1482448376156382,53.11890939142065
-55.75,3.24509435583377,49.28771594799638
-55.25,3.320337026155468,45.15749368803239
-54.75,3.438030797638394,41.5732902800877
-54.25,3.5829237776497713,39.630250221100056
-53.75000000000001,3.721970198818637,39.586237321696494
-53.25000000000001,3.8300044383007528,36.71115939297406
-52.75000000000001,4.015314933788988,33.167603192126116
-52.25000000000001,4.173680418959319,29.74624751197666
-51.75000000000001,4.4077969708724405,26.53045796198526
-51.25000000000001,4.5913280788868525,23.056027903142606
-50.75,4.884927012067801,18.980692317729623
-50.25,5.308421230837899,16.53409290967723
-49.75,6.031615139842056,11.305360460468123
-49.25,7.527571608906896,8.963874212169094
-48.75,10.497623500929594,6.375915727207008
-48.25,16.89172528901064,5.152616023180813
-47.75,28.150164034105238,3.7144298102992224
-47.25,47.645895791951936,1.9712600944879264
-46.75,79.52641856582379,1.0146267809690286
-46.25,124.92342278907283,0.45359176327066547
-45.75,173.42164518098645,0.20453053252501469
-45.25,231.27004035142372,0.07197403549614441
-44.75,277.9222753383503,0.041682804729781475
-44.25,289.7430005251733,0.0
-43.75,253.66490270055425,0.0
-43.25000000000001,183.12922064353822,0.0
-42.75,107.56371859444648,0.0
-42.25,46.60927548934423,0.0
-41.75,0.0,0.0
-41.25,0.0,0.0
-40.75,0.0,0.0
-40.25,0.0,0.0
